bank,reviews,average_rating,median_rating,min_date,max_date
Alpha_Bank,7586,2.659108884787767,2.0,2012-06-08 09:54:18,2026-05-08 10:29:03
Eurobank,9188,4.098171528080105,5.0,2019-09-14 09:46:51,2026-05-08 23:11:35
NBG,9626,2.8620403075005196,2.0,2023-11-26 11:48:37,2026-05-08 22:29:57
Piraeus,7536,2.801884288747346,2.0,2023-03-10 11:03:46,2026-05-08 17:58:34
